TC ID,Test Type,Test Case Name,Description,Action,Expected Result,Test Repository Path,Status,Components,User Story,Priority,Scenario Type
1,Manual,"TC01_Verify_Phoenix_requirements_New_Business_Domestic_AC1","The objective of this test case is to validate: Phoenix requirements - Dev to send the latest 03/25 edition form in payload for Domestic New Business.","1. Navigate to Phoenix submission creation screen","1. User should be able to view the submission creation screen with all required fields","Inland Marine/CAMS-1879","Not Started","Middle Market","CAMS-1879","High","Positive"
1,,,,"2. Create a Domestic submission","2. User should be able to create a submission successfully and proceed to line selection",,,,,
1,,,,"3. Navigate to Line selection screen and select Inland Marine LOB","3. User should be able to view the Inland Marine screen with all mandatory fields displayed",,,,,
1,,,,"4. Select transaction type: New Business","4. System should display transaction-specific fields and accept New Business inputs",,,,,
1,,,,"5. Verify payload contains latest form edition 03/25","5. API payload should include form ZC 6356 with edition date 03/25 and proper versioning",,,,,
1,,,,"6. Fill mandatory fields and proceed","6. No validation errors; data saved successfully",,,,,
1,,,,"7. Price, Quote & Bind the policy","7. Policy should be priced, quoted and bound without errors",,,,,
1,,,,"8. Verify form metadata in documents","8. Document section should show attached form with correct edition and version info",,,,,

2,Manual,"TC02_Verify_Phoenix_requirements_Policy_Change_Inception_Produced_AC1","The objective of this test case is to validate: Phoenix requirements - Dev to send the latest 03/25 edition form in payload for Produced Policy Change - Inception.","1. Navigate to Phoenix submission creation screen","1. User should be able to view the submission creation screen with all required fields","Inland Marine/CAMS-1879","Not Started","Middle Market","CAMS-1879","High","Positive"
2,,,,"2. Create a Produced submission","2. User should be able to create a Produced submission successfully and proceed to line selection",,,,,
2,,,,"3. Navigate to Line selection screen and select Inland Marine LOB","3. User should be able to view the Inland Marine screen with all mandatory fields displayed",,,,,
2,,,,"4. Select transaction type: Policy Change - Inception","4. System should display inception-specific fields and accept transaction inputs",,,,,
2,,,,"5. Verify payload contains latest form edition 03/25","5. API payload should include form ZC 6356 with edition date 03/25 and proper versioning",,,,,
2,,,,"6. Fill mandatory fields and proceed","6. No validation errors; data saved successfully",,,,,
2,,,,"7. Price, Quote & Bind the policy","7. Policy should be priced, quoted and bound without errors",,,,,
2,,,,"8. Verify form metadata in documents","8. Document section should show attached form with correct edition and version info",,,,,

3,Manual,"TC03_Verify_Phoenix_requirements_Policy_Change_Midterm_Domestic_AC1","The objective of this test case is to validate: Phoenix requirements - Dev to send the latest 03/25 edition form in payload for Domestic Policy Change - Midterm.","1. Navigate to Phoenix submission creation screen","1. User should be able to view the submission creation screen with all required fields","Inland Marine/CAMS-1879","Not Started","Middle Market","CAMS-1879","High","Positive"
3,,,,"2. Create a Domestic policy change midterm submission","2. User should be able to create the midterm submission and proceed",,,,,
3,,,,"3. Navigate to Line selection screen and select Inland Marine LOB","3. User should be able to view the Inland Marine screen with all mandatory fields displayed",,,,,
3,,,,"4. Select transaction type: Policy Change - Midterm","4. System should display midterm-specific fields and accept transaction inputs",,,,,
3,,,,"5. Verify payload contains latest form edition 03/25","5. API payload should include form ZC 6356 with edition date 03/25 and proper versioning",,,,,
3,,,,"6. Fill mandatory fields and proceed","6. No validation errors; data saved successfully",,,,,
3,,,,"7. Price, Quote & Bind the policy","7. Policy should be priced, quoted and bound without errors",,,,,
3,,,,"8. Verify form metadata in documents","8. Document section should show attached form with correct edition and version info",,,,,

4,Manual,"TC04_Verify_Phoenix_requirements_Policy_Change_Out_of_Sequence_Produced_AC1","The objective of this test case is to validate: Phoenix requirements - Dev to send the latest 03/25 edition form in payload for Produced Policy Change - Out of Sequence.","1. Navigate to Phoenix submission creation screen","1. User should be able to view the submission creation screen with all required fields","Inland Marine/CAMS-1879","Not Started","Middle Market","CAMS-1879","High","Positive"
4,,,,"2. Create a Produced out-of-sequence policy change","2. User should be able to create the out-of-sequence change and proceed",,,,,
4,,,,"3. Navigate to Line selection screen and select Inland Marine LOB","3. User should be able to view the Inland Marine screen with all mandatory fields displayed",,,,,
4,,,,"4. Select transaction type: Policy Change - Out of Sequence","4. System should display fields appropriate for out-of-sequence changes",,,,,
4,,,,"5. Verify payload contains latest form edition 03/25","5. API payload should include form ZC 6356 with edition date 03/25 and proper versioning",,,,,
4,,,,"6. Fill mandatory fields and proceed","6. No validation errors; data saved successfully",,,,,
4,,,,"7. Price, Quote & Bind the policy","7. Policy should be priced, quoted and bound without errors",,,,,
4,,,,"8. Verify form metadata in documents","8. Document section should show attached form with correct edition and version info",,,,,

5,Manual,"TC05_Verify_Form_Attachment_New_Business_Produced_AC2","The objective of this test case is to validate: Form Attachment - automatic attach of ZC 6356 with proper versioning for Produced New Business.","1. Navigate to Phoenix submission creation screen","1. User should be able to view the submission creation screen with all required fields","Inland Marine/CAMS-1879","Not Started","Middle Market","CAMS-1879","High","Positive"
5,,,,"2. Create a Produced submission","2. User should be able to create a Produced submission successfully and proceed to line selection",,,,,
5,,,,"3. Navigate to Line selection screen and select Contractors Equipment coverage","3. User should be able to view coverage options including Contractors Equipment",,,,,
5,,,,"4. Select Contractors Equipment coverage and choose form ZC 6356","4. Form ZC 6356 should be auto-attached to the documents section upon selection",,,,,
5,,,,"5. Verify the attached form is the latest edition 03/25","5. Documents should show form ZC 6356 with edition date 03/25 and correct versioning",,,,,
5,,,,"6. Fill mandatory fields and proceed","6. No validation errors; data saved successfully",,,,,
5,,,,"7. Price, Quote & Bind the policy","7. Policy should be priced, quoted and bound without errors",,,,,
5,,,,"8. Verify form metadata in documents","8. Document section should show version metadata for the attached form",,,,,

6,Manual,"TC06_Verify_Form_Attachment_Policy_Change_Inception_Domestic_AC2","The objective of this test case is to validate: Form Attachment auto-add behavior for Domestic Policy Change - Inception.","1. Navigate to Phoenix submission creation screen","1. User should be able to view the submission creation screen with all required fields","Inland Marine/CAMS-1879","Not Started","Middle Market","CAMS-1879","High","Positive"
6,,,,"2. Use the Run created in TC1 or create a new Domestic inception change","2. User should reach the Line selection for the change",,,,,
6,,,,"3. Navigate to Contractors Equipment coverage","3. Contractors Equipment coverage should be accessible",,,,,
