TC ID,Test Type,Test Case Name,Description,Action,Expected Result,Test Repository Path,Status,Components,User Story,Priority,Scenario Type
1,Manual,"TC01_Verify Premium Calculation_With Additional Industry_Property_New Business_AC1","Validate premium calculation considers primary and additional NAICS codes, applies percentage split per NAICS, rolls up coverage-peril premiums, and displays final premium in cost breakdown. Preconditions: Location with Primary + Additional Industry entries and percentage splits (e.g., 40/45/15). Applicable to Canada and International.","1. Create a new Property pricing request for a location with Primary NAICS and Additional Industry NAICS entries with percentage splits (e.g., Primary 40%, Additional1 45%, Additional2 15%).","1. System accepts the location data and displays the NAICS codes and percentage splits.",Property/CAMS-1843 Rating,Done,Middle Market,CAMS-1843,High,Positive
1,,,,"2. Trigger rating/pricing for the policy/location.","2. System calculates intermediate premiums for each NAICS code for each coverage-peril combination (e.g., PD-FLEXA) using corresponding industry inputs.",,,,,,,
1,,,,"3. Verify percentage-split adjustment is applied to each NAICS premium.","3. Each NAICS premium is multiplied by its percentage split/100 (Final Premium = Calculated Premium * Percentage / 100).",,,,,,,
1,,,,"4. Verify roll-up of premiums into single premium per coverage-peril.","4. System sums adjusted premiums across NAICS codes and reports a single premium for each Coverage-Peril combination.",,,,,,,
1,,,,"5. Continue remaining rating calculations (blending, risk premium, term amount) on the rolled-up premium.","5. System completes blending, risk premium, term amount calculations and displays final premium in the cost breakdown screen for that coverage-peril.",,,,,,,
1,,,,"6. Repeat pricing for an International location with same NAICS setup.","6. System performs the same calculations and displays the final premium for international locations.",,,,,,,

2,Manual,"TC02_Verify Premium Calculation_With No Additional Industry_Property_New Business_AC2","Validate premium calculation considers primary NAICS only when no additional industry is present. Preconditions: Location with Primary Industry only (no Additional Industry). Applicable to Canada and International.","1. Create a new Property pricing request for a location with only Primary NAICS and no Additional Industry entries.","1. System accepts the location data and shows only the Primary NAICS.",Property/CAMS-1843 Rating,Done,Middle Market,CAMS-1843,High,Positive
2,,,,"2. Trigger rating/pricing for the policy/location.","2. System calculates premium for each coverage-peril combination using Primary NAICS inputs only.",,,,,,,
2,,,,"3. Verify that no additional NAICS calculations are performed.","3. System does not perform separate calculations for additional NAICS and uses only primary NAICS results.",,,,,,,
2,,,,"4. Verify final premium displayed in cost breakdown is based on primary NAICS calculations.","4. Final premium in cost breakdown matches calculations derived from Primary NAICS only.",,,,,,,
2,,,,"5. Repeat pricing for an International location with Primary-only setup.","5. System performs the same Primary-only calculations for international locations.",,,,,,,

3,Manual,"TC03_Verify Policy Change Pricing_Policy Bound Before Code Change_Property_Policy Change_AC3","When pricing a policy change for a policy that was bound before this code change, ensure premium is calculated using primary industry only. Preconditions: Use a policy instance that was bound prior to the code change deployment.","1. Open an existing Property policy bound before the code change (set policy bound/effective date prior to deployment).","1. System opens the policy with historical bound date and displays Primary and Additional Industry data as stored at bind time.",Property/CAMS-1843 Rating,Done,Middle Market,CAMS-1843,High,Positive
3,,,,"2. Initiate a policy change transaction that triggers re-pricing.","2. System calculates pricing for the policy change transaction.",,,,,,,
3,,,,"3. Verify that the pricing logic uses Primary NAICS only (ignores Additional Industry) for this bound-before policy.","3. System uses Primary NAICS inputs only and does not apply additional NAICS-based repeats or percentage splitting.",,,,,,,
3,,,,"4. Verify final premium displayed for the policy change reflects Primary-only calculations.","4. Final premium shown for the policy change matches calculations based on Primary NAICS only.",,,,,,,

4,Manual,"TC04_Verify Policy Change Pricing_Policy Bound After Code Change_Property_Policy Change_AC4","When pricing a policy change for a policy that was bound after this code change, ensure premium is calculated considering both primary and additional industries. Preconditions: Use a policy instance bound after the code change deployment.","1. Open an existing Property policy bound after the code change (set policy bound/effective date after deployment) that includes Primary and Additional Industry entries with percentage splits.","1. System opens the policy and displays Primary and Additional Industry entries and percentage splits.",Property/CAMS-1843 Rating,Done,Middle Market,CAMS-1843,High,Positive
4,,,,"2. Initiate a policy change transaction that triggers re-pricing.","2. System calculates intermediate premiums for each NAICS code and coverage-peril combination.",,,,,,,
4,,,,"3. Verify percentage-split adjustment is applied to each NAICS premium.","3. Each NAICS premium is adjusted by its percentage split and then rolled up into a single premium per coverage-peril.",,,,,,,
4,,,,"4. Verify final blended calculations and final premium display in cost breakdown for the policy change.","4. System performs blending, risk premium, term amount calculations on the rolled-up premium and displays the final premium in the cost breakdown.",,,,,,,
4,,,,"5. Confirm behavior for International locations bound after code change.","5. System performs the same additional-industry-inclusive calculations for international locations bound after the change.",,,,,,,
