TC ID,Test Type,Test Case Name,Description,Action,Expected Result,Test Repository Path,Status,Components,User Story,Priority,Scenario Type
TC_2275_001,Manual,"TC01_Fleet NB - Per Day Limit Non-Mandatory - AB-SEF20U - English","Verify that Per Day Limit field is non-mandatory for 20 series forms (Fleet) during New Business with complete workflow","1. Create submission in UWD for Commercial Auto - Fleet | Initiate and purge to Phoenix","1. Submission created successfully | User navigated to Phoenix","MM - November 2025 / CAMS-2275 / Fleet NB",ToDo,Commercial Auto - Fleet,CAMS-2275,High,Positive
TC_2275_001,,,"","2. Navigate to Line selection screen | Verify product details and confirm AB-SEF20U selected","2. Line selection screen displayed | AB-SEF20U form confirmed",,,,,,
TC_2275_001,,,"","3. Navigate to form fields screen | Verify Per Day Limit field visible and NOT marked mandatory","3. Per Day Limit field visible | No red asterisk or 'Required' indicator present",,,,,,
TC_2275_001,,,"","4. Leave Per Day Limit field blank | Proceed through all mandatory fields","4. User able to proceed without entering Per Day Limit value",,,,,,
TC_2275_001,,,"","5. Complete form entry and Price the submission","5. Pricing completed successfully without validation error",,,,,,
TC_2275_001,,,"","6. Quote the submission | Verify Quote document generated","6. Quote created successfully | Per Day Limit blank in quote",,,,,,
TC_2275_002,Manual,"TC02_Fleet NB - Per Day Limit Non-Mandatory - FANB20G - French","Verify that Per Day Limit field is non-mandatory for FANB20G French form during Fleet New Business with full workflow","1. Create submission in UWD for Commercial Auto - Fleet with French language preference","1. Fleet submission created with French language selected","MM - November 2025 / CAMS-2275 / Fleet NB French",ToDo,Commercial Auto - Fleet,CAMS-2275,High,Positive
TC_2275_002,,,"","2. Initiate and purge to Phoenix | Navigate to Line selection","2. Phoenix submission initiated | Line selection displayed","","","","","",
TC_2275_002,,,"","3. Verify FANB20G form available (French: FANB 20 G Extension De La Garantie Privation De Jouissance)","3. FANB20G form listed and selectable in French","","","","","",
TC_2275_002,,,"","4. Navigate to form fields | Verify Per Day Limit field NOT marked mandatory","4. Per Day Limit field visible without mandatory indicator","","","","","",
TC_2275_002,,,"","5. Leave Per Day Limit blank | Complete form entry | Price submission","5. No validation error | Pricing successful","","","","","",
TC_2275_002,,,"","6. Quote the submission | Bind the policy","6. Quote and Bind completed successfully","","","","","",
TC_2275_003,Manual,"TC03_Fleet NB - Per Day Limit Non-Mandatory - NBEF20U - English","Verify non-mandatory Per Day Limit for NBEF20U form in Fleet New Business complete workflow","1. Create Fleet CA submission | Select NBEF20U form (NBEF 20 U Loss of Use Endorsement)","1. Submission created | NBEF20U selected","MM - November 2025 / CAMS-2275 / Fleet NB",ToDo,Commercial Auto - Fleet,CAMS-2275,High,Positive
TC_2275_003,,,"","2. Navigate to form fields | Verify Per Day Limit field visible","2. Form fields displayed | Per Day Limit field present","","","","","",
TC_2275_003,,,"","3. Confirm Per Day Limit NOT marked as mandatory","3. No mandatory indicator (asterisk/Required text)","","","","","",
TC_2275_003,,,"","4. Leave Per Day Limit blank | Proceed to pricing","4. No validation blocking user | Pricing accessible","","","","","",
TC_2275_003,,,"","5. Price submission | Quote policy | Bind policy","5. All workflow steps completed successfully","","","","","",
TC_2275_004,Manual,"TC04_Fleet NB - Per Day Limit Non-Mandatory - NL SEF20U - English","Verify non-mandatory Per Day Limit for NL SEF20U form (NL SEF 20 Loss of Use) in Fleet New Business","1. Create Fleet CA submission | Select NL SEF20U form","1. Fleet submission with NL SEF20U form created","MM - November 2025 / CAMS-2275 / Fleet NB",ToDo,Commercial Auto - Fleet,CAMS-2275,High,Positive
TC_2275_004,,,"","2. Navigate to form | Verify Per Day Limit field visible and non-mandatory","2. Per Day Limit visible | No mandatory indicators","","","","","",
TC_2275_004,,,"","3. Leave Per Day Limit blank | Complete form and proceed to pricing","3. Form accepted with blank Per Day Limit | No errors","","","","","",
TC_2275_004,,,"","4. Price | Quote | Bind | Issue policy","4. All workflow steps successful | Policy issued","","","","","",
TC_2275_005,Manual,"TC05_Fleet NB - Per Day Limit Non-Mandatory - NSEF20U - English","Verify non-mandatory Per Day Limit for NSEF20U form (NSEF 20 Loss of Use) in Fleet New Business complete workflow","1. Create Fleet CA submission | Select NSEF20U form","1. Submission created with NSEF20U","MM - November 2025 / CAMS-2275 / Fleet NB",ToDo,Commercial Auto - Fleet,CAMS-2275,High,Positive
TC_2275_005,,,"","2. Navigate to form fields | Confirm Per Day Limit NOT mandatory","2. Per Day Limit visible | No mandatory indicator","","","","","",
TC_2275_005,,,"","3. Leave Per Day Limit blank | Proceed through workflow","3. User can proceed without entering Per Day Limit","","","","","",
TC_2275_005,,,"","4. Complete pricing and quoting | Issue policy","4. Workflow completed | Policy issued successfully","","","","","",
TC_2275_006,Manual,"TC06_Fleet NB - Per Day Limit Non-Mandatory - OPCF20U - English","Verify non-mandatory Per Day Limit for OPCF20U form (OPCF 20 Coverage for Transportation Replacement) in Fleet New Business","1. Create Fleet CA submission | Select OPCF20U form","1. Fleet submission with OPCF20U created","MM - November 2025 / CAMS-2275 / Fleet NB",ToDo,Commercial Auto - Fleet,CAMS-2275,High,Positive
TC_2275_006,,,"","2. Navigate to form fields | Verify Per Day Limit field non-mandatory status","2. Per Day Limit visible without mandatory indicator","","","","","",
