TC ID,Test Type,Test Case Name,Description,Action,Expected Result,Test Repository Path,Status,Components,User Story,Priority,Scenario Type
1,Manual,TC01_Verify Contractors Equipment Form ZC 6356 Display with Latest Edition_Inland Marine_New Business_R1,The objective of this test case is to validate that the Contractors Equipment form ZC 6356 is displayed with correct version and edition date (03/25) in the Inland Marine LOB for new business submissions,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen with all required fields,Inland Marine/CAMS-1863 Form Display,Done,Middle Market,CAMS-1863,High,Positive
1,,,,2. Create a Domestic submission,2. User should be able to create a submission successfully,,,,,,
1,,,,3. Navigate to Line selection screen,3. User should be able to view the line selection screen,,,,,,
1,,,,4. Select Inland Marine LOB,4. User should be able to select Inland Marine LOB from available options,,,,,,
1,,,,5. Navigate to Inland Marine screen,5. User should be able to view the Inland Marine screen with all mandatory fields,,,,,,
1,,,,6. Verify Contractors Equipment coverage option is available,6. User should be able to view Contractors Equipment coverage in the coverage options list,,,,,,
1,,,,7. Click on Contractors Equipment coverage,7. User should be able to select the Contractors Equipment coverage option,,,,,,
1,,,,8. Verify form ZC 6356 is displayed,8. User should be able to view form ZC 6356 in the form list,,,,,,
1,,,,9. Verify form edition date is displayed as 03/25,9. User should be able to see the form edition date displayed as 03/25 (March 2025 edition),,,,,,
1,,,,10. Verify form version information,10. User should be able to view the complete form version and edition metadata,,,,,,
2,Manual,TC02_Verify Form ZC 6356 Auto-Attachment on Selection_Inland Marine_New Business_R2,The objective of this test case is to validate that the Contractors Equipment form ZC 6356 with latest edition is automatically attached to the documents section when user selects the coverage,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Inland Marine/CAMS-1863 Form Attachment,Done,Middle Market,CAMS-1863,High,Positive
2,,,,2. Create a Domestic submission with Inland Marine LOB,2. User should be able to create a submission successfully,,,,,,
2,,,,3. Navigate to Line selection screen,3. User should be able to view the line selection screen,,,,,,
2,,,,4. Select Inland Marine LOB,4. User should be able to select Inland Marine LOB from available options,,,,,,
2,,,,5. Navigate to Inland Marine screen,5. User should be able to view the Inland Marine screen with all mandatory fields,,,,,,
2,,,,6. Click on Contractors Equipment coverage,6. User should be able to select the Contractors Equipment coverage option,,,,,,
2,,,,7. Select form ZC 6356 from coverage options,7. Form ZC 6356 should be automatically added to the documents section,,,,,,
2,,,,8. Navigate to documents section,8. User should be able to view the documents section with attached forms,,,,,,
2,,,,9. Verify form ZC 6356 is attached with latest edition,9. User should be able to see that form ZC 6356 is attached with the latest 03/25 edition,,,,,,
2,,,,10. Verify old version is not attached,10. User should verify that the old version of the form is not present in the documents section,,,,,,
2,,,,11. Verify form attachment metadata,11. User should be able to view the form attachment with correct version and edition date information,,,,,,
3,Manual,TC03_Verify Form ZC 6356 Auto-Attachment on Policy Change Inception_Inland Marine_Policy Change Inception_R2,The objective of this test case is to validate that the Contractors Equipment form ZC 6356 with latest edition is automatically attached when processing a policy change at inception,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Inland Marine/CAMS-1863 Form Attachment,Done,Middle Market,CAMS-1863,High,Positive
3,,,,2. Create a Policy Change Inception transaction,2. User should be able to create a policy change transaction successfully,,,,,,
3,,,,3. Navigate to Line selection screen,3. User should be able to view the line selection screen,,,,,,
3,,,,4. Select Inland Marine LOB,4. User should be able to select Inland Marine LOB from available options,,,,,,
3,,,,5. Navigate to Inland Marine screen,5. User should be able to view the Inland Marine screen with all mandatory fields,,,,,,
3,,,,6. Click on Contractors Equipment coverage,6. User should be able to select the Contractors Equipment coverage option,,,,,,
3,,,,7. Verify form ZC 6356 is auto-attached,7. Form ZC 6356 should be automatically added to the documents section with latest edition,,,,,,
3,,,,8. Navigate to documents section,8. User should be able to view the documents section with attached forms,,,,,,
3,,,,9. Verify form edition is 03/25,9. User should verify that the attached form has the latest 03/25 edition date,,,,,,
4,Manual,TC04_Verify Form ZC 6356 Auto-Attachment on Policy Change Midterm_Inland Marine_Policy Change Midterm_R2,The objective of this test case is to validate that the Contractors Equipment form ZC 6356 with latest edition is automatically attached when processing a policy change at midterm,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Inland Marine/CAMS-1863 Form Attachment,Done,Middle Market,CAMS-1863,High,Positive
4,,,,2. Create a Policy Change Midterm transaction,2. User should be able to create a policy change transaction successfully,,,,,,
4,,,,3. Navigate to Line selection screen,3. User should be able to view the line selection screen,,,,,,
4,,,,4. Select Inland Marine LOB,4. User should be able to select Inland Marine LOB from available options,,,,,,
4,,,,5. Navigate to Inland Marine screen,5. User should be able to view the Inland Marine screen with all mandatory fields,,,,,,
4,,,,6. Click on Contractors Equipment coverage,6. User should be able to select the Contractors Equipment coverage option,,,,,,
4,,,,7. Verify form ZC 6356 is auto-attached,7. Form ZC 6356 should be automatically added to the documents section with latest edition,,,,,,
4,,,,8. Navigate to documents section,8. User should be able to view the documents section with attached forms,,,,,,
4,,,,9. Verify form edition is 03/25,9. User should verify that the attached form has the latest 03/25 edition date,,,,,,
5,Manual,TC05_Verify Form ZC 6356 Auto-Attachment on Policy Change Out of Sequence_Inland Marine_Policy Change Out of Sequence_R2,The objective of this test case is to validate that the Contractors Equipment form ZC 6356 with latest edition is automatically attached when processing a policy change out of sequence,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Inland Marine/CAMS-1863 Form Attachment,Done,Middle Market,CAMS-1863,High,Positive
5,,,,2. Create a Policy Change Out of Sequence transaction,2. User should be able to create a policy change transaction successfully,,,,,,
5,,,,3. Navigate to Line selection screen,3. User should be able to view the line selection screen,,,,,,
5,,,,4. Select Inland Marine LOB,4. User should be able to select Inland Marine LOB from available options,,,,,,
5,,,,5. Navigate to Inland Marine screen,5. User should be able to view the Inland Marine screen with all mandatory fields,,,,,,
5,,,,6. Click on Contractors Equipment coverage,6. User should be able to select the Contractors Equipment coverage option,,,,,,
5,,,,7. Verify form ZC 6356 is auto-attached,7. Form ZC 6356 should be automatically added to the documents section with latest edition,,,,,,
5,,,,8. Navigate to documents section,8. User should be able to view the documents section with attached forms,,,,,,
5,,,,9. Verify form edition is 03/25,9. User should verify that the attached form has the latest 03/25 edition date,,,,,,
6,Manual,TC06_Verify Form ZC 6356 Auto-Attachment on Preemption_Inland Marine_Policy Change Preemption_R2,The objective of this test case is to validate that the Contractors Equipment form ZC 6356 with latest edition is automatically attached when processing a preemption,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Inland Marine/CAMS-1863 Form Attachment,Done,Middle Market,CAMS-1863,High,Positive
6,,,,2. Create a Preemption transaction,2. User should be able to create a preemption transaction successfully,,,,,,
6,,,,3. Navigate to Line selection screen,3. User should be able to view the line selection screen,,,,,,
6,,,,4. Select Inland Marine LOB,4. User should be able to select Inland Marine LOB from available options,,,,,,
