Transaction,Scenario ID,Scenario Name,LOB Combination,Scenario Type,Detailed Description,Preconditions,Setup Steps,Key Actions,Expected Outcomes,Validation Points,Business Rules,Risk Coverage
New Business,NB-S001,Basic Property and Marine Submission,Property + Inland Marine,Positive,"Create a new business submission with both Property and Inland Marine LOBs to cover buildings and equipment in transit","Broker has valid UWD account; Customer is new; No prior policies exist","1. Create submission in UWD with customer details 2. Set effective date to release date 3. Select Domestic scope","1. Navigate to Phoenix and initiate submission 2. Select Property LOB 3. Fill location details and building values 4. Select Inland Marine LOB 5. Add cargo values and coverage","1. Submission created successfully 2. Both LOBs displayed in Line selection 3. Property screen shows building information 4. Inland Marine screen shows cargo details 5. Can proceed to pricing","1. Both LOB screens accessible 2. Mandatory fields required for each LOB 3. Premium calculated for both 4. Quote includes both LOBs 5. Policy binds with both coverages","1. Property and Inland Marine must be independent LOBs 2. Each LOB requires separate underwriting approval 3. Premium allocation must be clear 4. Forms specific to each LOB must attach","Building coverage; Equipment coverage; Cargo in transit; Business interruption (Property); Bailee liability (Marine)"
New Business,NB-S002,Three LOB Combined - Property Marine and Casualty,Property + Inland Marine + General Liability,Positive,"Complex submission requiring property, marine cargo, and general liability coverage for manufacturing business","Broker has UWD setup; Customer is large manufacturer; Multiple locations expected","1. Create UWD submission for multi-location manufacturer 2. Identify all locations and operations","1. Create Phoenix submission 2. Select all three LOBs 3. Enter location details for Property 4. Add cargo routes for Inland Marine 5. Enter exposures for GL","1. All three LOBs added successfully 2. Each LOB screen accessible 3. Property shows all locations 4. Marine shows shipping lanes 5. GL shows operations","1. All three LOBs configured 2. Separate premium for each 3. Quote shows all three sections 4. Binder includes all three 5. Issued policy covers all","1. No conflicts between LOB coverage 2. GL limits must be defined 3. Marine deductibles per shipment 4. Property deductibles by location 5. Umbrella may be triggered","Building and contents; Cargo and bailee; Premises liability; Products liability; Legal liability"
New Business,NB-S003,Casualty Coverage with Umbrella Excess,General Liability + Umbrella,Positive,"Create submission with GL base coverage and Umbrella excess liability protection for high-exposure business","GL quote obtained; Exposure assessment shows need for excess coverage; Broker familiar with umbrella markets","1. Obtain GL quote from underwriter 2. Assess liability exposure 3. Request umbrella pricing","1. Create submission with GL 2. Add GL exposures and operations 3. Price GL submission 4. Add Umbrella LOB for excess coverage 5. Link Umbrella to GL attachment point","1. GL underwritten and quoted 2. Umbrella added as attachment 3. Umbrella attachment point matches GL limit 4. Premium calculated for both","1. GL and Umbrella both quoted 2. Attachment point defined 3. Limits stack correctly 4. Forms attached for both 5. Endorsement for GL limits","1. Umbrella requires GL as underlying 2. Attachment point cannot exceed GL limit 3. Umbrella is excess only 4. GL must be primary 5. Deductibles must align","General liability; Third party bodily injury; Third party property damage; Excess liability; Defense costs"
New Business,NB-S004,Property with Financial Lines Coverage,Property + Financial Lines,Positive,"Submission combining property and financial lines (including management liability) for small business protection","Business has professional services element; Client requests crime and D&O coverage; Property needed for facility","1. Identify business type and exposures 2. Confirm need for financial lines 3. Get property building information","1. Create submission 2. Add Property LOB with building details 3. Add Financial Lines LOB 4. Select Financial Lines products (Crime, D&O, E&O) 5. Enter exposures for each","1. Property LOB configured 2. Financial Lines LOB added 3. Crime coverage selected 4. D&O coverage selected 5. Premium calculated for all coverages","1. All coverages added 2. Property premium quoted 3. Crime premium quoted 4. D&O premium quoted 5. Combined policy issued","1. Each Financial Lines product separate 2. Crime requires loss history 3. D&O requires board info 4. E&O requires business description 5. Property independent of Financial","Building coverage; Crime coverage; Directors and Officers liability; Employment Practices Liability; Professional Liability"
New Business,NB-S005,All Five LOBs Comprehensive Coverage,Property + Inland Marine + General Liability + Umbrella + Financial Lines,Positive,"Create comprehensive insurance program for large multinational company covering all property, casualty, marine, and financial exposures","Large multinational organization; Multiple locations worldwide; Complex exposures; Requires comprehensive coverage","1. Comprehensive risk assessment 2. Identify all exposures 3. Separate by LOB 4. Obtain loss history","1. Create Phoenix submission 2. Add Property for all locations 3. Add Inland Marine for international shipments 4. Add GL for operations 5. Add Umbrella for excess 6. Add Financial Lines for management risk","1. All five LOBs selected 2. Each LOB screen accessible 3. Complex exposures entered 4. All underwriting rules approved 5. Complete pricing accomplished","1. All five LOBs configured 2. Five separate premiums calculated 3. Quote shows all five sections 4. Binder includes all five 5. Issued policy comprehensive","1. Each LOB independent underwriting 2. No duplicate coverage 3. Premium allocation clear 4. Limits coordination required 5. Forms for each LOB attach","Buildings; Contents; International cargo; Premises liability; Products liability; General liability; Excess liability; Crime coverage; Management liability; Professional liability"
Policy Change,PC-S001,Add Coverage - Adding General Liability to Existing Property Policy,Property → Property + General Liability,Positive,"Mid-policy addition of General Liability coverage to existing property-only policy due to business expansion","Existing property policy active; Customer expanding business operations; Renewal not due; Effective date available","1. Access existing property policy 2. Confirm coverage adequacy 3. Assess GL exposures 4. Obtain GL underwriting","1. Open Phoenix 2. Create Policy Change 3. Navigate to Line selection 4. Add GL LOB to Property 5. Enter GL exposures","1. Policy Change created 2. GL LOB added to policy 3. GL information entered 4. Premium change calculated 5. Policy change quoted and bound","1. GL added successfully 2. Premium adjustment calculated 3. Quote issued for change 4. Endorsement issued 5. GL coverage effective","1. Coverage effective same date as change 2. GL premium prorated if needed 3. New GL forms attached 4. Property coverage unchanged 5. Billing adjusted","General Liability; Premises liability; Products liability; Business operations; Coverage extension"
Policy Change,PC-S002,Remove and Replace Coverage - Removing Property, Adding Umbrella,Property + Inland Marine → Inland Marine + General Liability + Umbrella,Positive,"Complex policy change removing property coverage and adding GL and Umbrella to existing marine policy due to asset sale and liability concern","Existing policy with Property and Marine; Customer sold building; Business expansion to retail (GL needed); Wants umbrella protection","1. Confirm asset sale 2. Verify property no longer needed 3. Get GL underwriting 4. Request umbrella quote 5. Effective date identified","1. Open Policy Change 2. Navigate to Line selection 3. Remove Property LOB 4. Confirm removal acceptable 5. Add GL LOB 6. Add Umbrella LOB 7. Enter GL and Umbrella details","1. Property removed 2. GL LOB added 3. Umbrella LOB added 4. Premium adjustment calculated 5. Quote includes new structure","1. Property canceled via endorsement 2. GL and Umbrella added via endorsement 3. Marine coverage continues 4. Premium recalculated 5. All forms updated","1. Property removal effective immediately 2. GL effective same date 3. Umbrella effective same date 4. No gap in coverage for GL/Umbrella 5. Marine terms unchanged","Marine coverage continuation; General Liability addition; Excess Liability addition; Coverage restructuring; Asset sale impact"
Policy Change,PC-S003,Add Multiple LOBs - Adding Inland Marine and Financial Lines to Property and GL Policy,Property + General Liability → Property + General Liability + Inland Marine + Financial Lines,Positive,"Adding marine and financial lines coverage to established property and casualty policy to support new business lines (international operations and professional services)","Existing Property + GL policy in force; Company expanding internationally (ships goods); Starting consulting practice (E&O needed)","1. Document new business activities 2. Get cargo details for marine 3. Get professional details for E&O 4. Underwriting quotes obtained","1. Open Policy Change 2. Navigate LOB selection 3. Keep Property and GL 4. Add Inland Marine 5. Add Financial Lines 6. Enter new coverage details","1. Inland Marine LOB added 2. Financial Lines LOB added 3. Marine exposures entered (cargo types, routes, values) 4. Financial Lines products selected (E&O, etc.) 5. Premium calculated","1. Inland Marine added successfully 2. Financial Lines added successfully 3. Combined premium change calculated 4. Quote issued with four LOBs 5. All endorsements issued","1. New LOBs effective on change date 2. Property and GL unchanged 3. Premium reflects additions 4. Marine forms attached 5. Financial forms attached","Marine cargo coverage; International shipping; Professional liability; Employment practices liability; Existing coverage preservation"
Policy Change,PC-S004,Coverage Modification - Changing GL Limits and Adding Umbrella,General Liability → General Liability + Umbrella,Positive,"Increase GL limits and add Umbrella to strengthen casualty protection due to increased business volume and risk appetite change","Existing GL policy with lower limits; Business growth requires higher limits; Client wants excess protection; Attachment point identified","1. Review GL limits adequacy 2. Assess business growth impact 3. Determine appropriate GL limit increase 4. Request Umbrella market 5. Define attachment point","1. Create Policy Change 2. Navigate to GL screen 3. Increase GL limits 4. Add Umbrella LOB 5. Set Umbrella attachment point","1. GL limit increase captured 2. Umbrella LOB added 3. Attachment point defined 4. Premium change calculated 5. Underwriting approval obtained","1. GL limits increased 2. Umbrella added with correct attachment 3. Limits stack properly 4. Premium change reflects both changes 5. Forms attached","1. GL limits effective on change date 2. Umbrella effective on change date 3. Umbrella attachment matches GL limit 4. Endorsement issued for GL change 5. Umbrella rider issued","Increased premises liability coverage; Increased products liability coverage; Added excess liability coverage; Limit enhancement"
Policy Change,PC-S005,Remove Coverage - Removing Umbrella as Risk Subsides,Property + General Liability + Umbrella → Property + General Liability,Positive,"Remove Umbrella coverage from policy due to reduced risk exposure and cost savings as high-risk project completed","Property + GL + Umbrella policy active; High-risk construction project completed; Want to reduce coverage; Maintain Property and GL","1. Confirm project completion 2. Verify GL limits adequate for ongoing operations 3. Assess retained risk 4. Plan coverage reduction","1. Create Policy Change 2. Navigate to Line selection 3. Select Umbrella LOB for removal 4. Remove Umbrella 5. Confirm GL limits adequate for ongoing ops","1. Umbrella selected for removal 2. Removal confirmed 3. GL limits reviewed as adequate 4. Premium reduction calculated 5. Endorsement prepared","1. Umbrella removed via endorsement 2. Property coverage continues unchanged 3. GL coverage continues unchanged 4. Premium reduced by Umbrella cost 5. Removal effective on specified date","1. Umbrella removal effective on change date 2. GL limits adequate for ongoing risk 3. No coverage gap created 4. Property unaffected 5. Endorsement issued","Excess liability removal; Cost reduction; Risk subsidence; Ongoing coverage preservation"
