TC ID,Test Type,Test Case Name,Description,Action,Expected Result,Test Repository Path,Status,Components,User Story,Priority,Scenario Type
1,Manual,TC01_Verify Per Day Limit Field Not Mandatory for AB-SEF20 U_Fleet_New Business_AC1,The objective of this test case is to validate that the Per Day Limit field is not mandatory for the AB-SEF20 U form when creating a new business submission in Fleet LOB,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen with all required fields,Commercial Auto/CAMS-2275 Per Day Limit Non-Mandatory,ToDo,Commercial Auto,CAMS-2275,High,Positive
1,,,,2. Create a Domestic submission with Commercial Auto product,2. User should be able to create a submission successfully,,,,,
1,,,,3. Navigate to Line selection screen,3. User should be able to view the line selection screen,,,,,
1,,,,4. Select Fleet LOB and navigate to Vehicles screen,4. User should be able to add and configure fleet vehicles,,,,,
1,,,,5. Fill all mandatory fields for Fleet,5. All mandatory fields should be populated successfully,,,,,
1,,,,6. Navigate to Coverage/Forms section and select AB-SEF20 U form,6. User should be able to select the AB-SEF20 U form for coverage,,,,,
1,,,,7. Verify Per Day Limit field is displayed,7. Per Day Limit field should be visible in the form,,,,,
1,,,,8. Leave Per Day Limit field blank and proceed,8. System should allow proceeding without entering Per Day Limit value (field is non-mandatory),,,,,
1,,,,9. Complete pricing,9. Pricing should complete successfully without Per Day Limit value,,,,,
2,Manual,TC02_Verify Per Day Limit Blank in Quote Document_AB-SEF20 U_Fleet_New Business_AC2,The objective of this test case is to validate that Per Day Limit field remains blank in the quote document when left empty during form selection,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Commercial Auto/CAMS-2275 Document Validation,ToDo,Commercial Auto,CAMS-2275,High,Positive
2,,,,2. Create a Domestic submission with Commercial Auto product,2. User should be able to create a submission successfully,,,,,
2,,,,3. Navigate to Line selection screen and select Fleet LOB,3. Fleet LOB should be selectable,,,,,
2,,,,4. Add vehicles and complete mandatory Fleet fields,4. Fleet configuration should be complete,,,,,
2,,,,5. Select AB-SEF20 U form and leave Per Day Limit blank,5. Form should be selected with blank Per Day Limit,,,,,
