TC ID,Test Type,Test Case Name,Description,Action,Expected Result,Test Repository Path,Status,Components,User Story,Priority,Scenario Type
1,Manual,TC01_Verify New Business with Property and Inland Marine LOB Combination_Middle Market_New Business_LOB Combination,The objective of this test case is to validate that a New Business submission can be created with Property and Inland Marine LOBs combined and processed through pricing and binding,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen with all required fields,Lob-Combinations/Lob-Combinations LOB Combination,ToDo,Middle Market,Lob-Combinations,High,Positive
1,,,,2. Create a Domestic submission with Property and Inland Marine LOBs selected,2. User should be able to create a submission successfully with both LOBs selected,,,,,,
1,,,,3. Navigate to Line selection screen and verify both LOBs are listed,3. User should see Property and Inland Marine in the selected LOBs list,,,,,,
1,,,,4. Navigate to Property screen and fill all mandatory fields,4. User should be able to complete Property LOB with all required information,,,,,,
1,,,,5. Navigate to Inland Marine screen and fill all mandatory fields,5. User should be able to complete Inland Marine LOB with all required information,,,,,,
1,,,,6. Price the submission and approve underwriter rules,6. System should price the submission successfully with both LOBs,,,,,,
1,,,,7. Generate Quote and validate the quote document,7. Quote document should include both Property and Inland Marine LOBs,,,,,,
1,,,,8. Bind the policy and validate the binder document,8. Binder document should reflect both LOBs in the binding,,,,,,
1,,,,9. Issue the policy and validate all forms are correctly attached,9. Policy should be issued with forms for both Property and Inland Marine LOBs,,,,,,
2,Manual,TC02_Verify New Business with Property, Inland Marine and General Liability LOB Combination_Middle Market_New Business_Multi-LOB,The objective of this test case is to validate that a New Business submission can be created with three LOBs (Property, Inland Marine, and General Liability) combined,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Lob-Combinations/Lob-Combinations LOB Combination,ToDo,Middle Market,Lob-Combinations,High,Positive
2,,,,2. Create a Domestic submission with Property, Inland Marine and General Liability LOBs selected,2. User should be able to create a submission with three LOBs selected successfully,,,,,,
2,,,,3. Navigate to Line selection screen and verify all three LOBs are listed,3. User should see all three LOBs in the selected products list,,,,,,
2,,,,4. Navigate to Property screen and fill all mandatory fields,4. Property LOB should be completed with all required information,,,,,,
2,,,,5. Navigate to Inland Marine screen and fill all mandatory fields,5. Inland Marine LOB should be completed with all required information,,,,,,
2,,,,6. Navigate to General Liability screen and fill all mandatory fields,6. General Liability LOB should be completed with all required information,,,,,,
2,,,,7. Price the submission with all three LOBs,7. System should price successfully with all three LOBs combined,,,,,,
2,,,,8. Generate Quote document,8. Quote should include all three LOBs with separate sections,,,,,,
2,,,,9. Bind the policy,9. Binder should include all three LOBs,,,,,,
3,Manual,TC03_Verify New Business with General Liability and Umbrella LOB Combination_Middle Market_New Business_Casualty,The objective of this test case is to validate that General Liability and Umbrella LOBs can be combined in a New Business submission,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Lob-Combinations/Lob-Combinations LOB Combination,ToDo,Middle Market,Lob-Combinations,High,Positive
3,,,,2. Create a Domestic submission with General Liability and Umbrella LOBs,2. User should be able to create submission with casualty LOBs selected,,,,,,
3,,,,3. Navigate to Line selection screen and verify both casualty LOBs are selected,3. Both General Liability and Umbrella should be visible in LOB list,,,,,,
3,,,,4. Navigate to General Liability screen and fill all mandatory fields,4. General Liability LOB should be configured successfully,,,,,,
3,,,,5. Navigate to Umbrella screen and fill all mandatory fields,5. Umbrella LOB should be configured successfully,,,,,,
3,,,,6. Price the submission,6. System should approve underwriter rules and price successfully,,,,,,
3,,,,7. Generate Quote document,7. Quote should display both General Liability and Umbrella coverage,,,,,,
3,,,,8. Bind the policy,8. Binder should include both casualty LOBs,,,,,,
4,Manual,TC04_Verify New Business with Property and Financial Lines LOB Combination_Middle Market_New Business_Mixed,The objective of this test case is to validate that Property and Financial Lines LOBs can be combined in New Business,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Lob-Combinations/Lob-Combinations LOB Combination,ToDo,Middle Market,Lob-Combinations,High,Positive
4,,,,2. Create a Domestic submission with Property and Financial Lines LOBs,2. User should be able to create submission with both LOBs selected,,,,,,
4,,,,3. Navigate to Line selection screen and verify both LOBs are present,3. Property and Financial Lines should appear in selected LOBs,,,,,,
4,,,,4. Navigate to Property screen and complete all mandatory fields,4. Property LOB should be successfully configured,,,,,,
4,,,,5. Navigate to Financial Lines screen and add required products,5. Financial Lines products should be added successfully,,,,,,
4,,,,6. Fill all mandatory fields in Financial Lines screen,6. All required information should be entered,,,,,,
4,,,,7. Price the submission,7. System should price with both Property and Financial Lines,,,,,,
4,,,,8. Generate Quote,8. Quote should include coverage from both LOBs,,,,,,
4,,,,9. Bind the policy,9. Policy should be bound with both LOBs,,,,,,
5,Manual,TC05_Verify New Business with Inland Marine, General Liability and Umbrella LOB Combination_Middle Market_New Business_Complete,The objective of this test case is to validate that three different LOBs (Inland Marine, General Liability, Umbrella) can be combined,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Lob-Combinations/Lob-Combinations LOB Combination,ToDo,Middle Market,Lob-Combinations,High,Positive
5,,,,2. Create a Domestic submission with Inland Marine, General Liability and Umbrella LOBs,2. User should be able to create submission with all three LOBs selected,,,,,,
5,,,,3. Navigate to Line selection screen,3. All three LOBs should appear in the selection list,,,,,,
5,,,,4. Navigate to Inland Marine screen and complete mandatory fields,4. Inland Marine LOB should be configured successfully,,,,,,
5,,,,5. Navigate to General Liability screen and complete mandatory fields,5. General Liability LOB should be configured successfully,,,,,,
5,,,,6. Navigate to Umbrella screen and complete mandatory fields,6. Umbrella LOB should be configured successfully,,,,,,
5,,,,7. Price the submission with all three LOBs,7. System should process pricing for all LOBs,,,,,,
5,,,,8. Generate Quote document,8. Quote should include all three LOB sections,,,,,,
5,,,,9. Bind the policy,9. Binder should include coverage from all three LOBs,,,,,,
6,Manual,TC06_Verify Renewal with General Liability and Umbrella LOB Combination_Middle Market_Renewal_Casualty,The objective of this test case is to validate that Renewal transactions can be processed with General Liability and Umbrella LOBs,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Lob-Combinations/Lob-Combinations LOB Combination,ToDo,Middle Market,Lob-Combinations,High,Positive
6,,,,2. Initiate Renewal transaction with General Liability and Umbrella LOBs,2. User should be able to create renewal submission with both casualty LOBs,,,,,,
6,,,,3. Navigate to Line selection screen and verify LOBs from previous policy,3. General Liability and Umbrella should be pre-populated from prior policy,,,,,,
6,,,,4. Navigate to General Liability screen and update mandatory fields,4. General Liability LOB information should be updated for renewal,,,,,,
6,,,,5. Navigate to Umbrella screen and update mandatory fields,5. Umbrella LOB information should be updated for renewal,,,,,,
6,,,,6. Price the renewal submission,6. System should price the renewal with both LOBs,,,,,,
6,,,,7. Generate Quote document,7. Quote should display renewed coverage for both LOBs,,,,,,
6,,,,8. Bind the renewal policy,8. Binder should include both LOBs in renewal,,,,,,
7,Manual,TC07_Verify Renewal with Property and Inland Marine LOB Combination_Middle Market_Renewal_Property,The objective of this test case is to validate that Renewal transactions maintain Property and Inland Marine LOBs,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Lob-Combinations/Lob-Combinations LOB Combination,ToDo,Middle Market,Lob-Combinations,High,Positive
7,,,,2. Initiate Renewal transaction with Property and Inland Marine LOBs,2. User should be able to create renewal submission with both LOBs,,,,,,
7,,,,3. Navigate to Line selection screen,3. Property and Inland Marine should be inherited from prior policy,,,,,,
7,,,,4. Navigate to Property screen and update information for renewal,4. Property LOB should be updated successfully,,,,,,
7,,,,5. Navigate to Inland Marine screen and update information for renewal,5. Inland Marine LOB should be updated successfully,,,,,,
7,,,,6. Price the renewal submission,6. System should calculate renewal premium for both LOBs,,,,,,
7,,,,7. Generate Quote for renewal,7. Quote should reflect renewal of both LOBs,,,,,,
7,,,,8. Bind the renewal policy,8. Renewal binder should include both LOBs,,,,,,
8,Manual,TC08_Verify Renewal with Financial Lines and Property LOB Combination_Middle Market_Renewal_Mixed,The objective of this test case is to validate that Renewal can be processed with Financial Lines and Property LOBs together,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Lob-Combinations/Lob-Combinations LOB Combination,ToDo,Middle Market,Lob-Combinations,High,Positive
8,,,,2. Initiate Renewal transaction with Financial Lines and Property LOBs,2. User should be able to create renewal submission with both LOBs selected,,,,,,
8,,,,3. Navigate to Line selection screen,3. Both LOBs should be available from prior policy,,,,,,
8,,,,4. Navigate to Property screen and update renewal details,4. Property LOB should be updated successfully,,,,,,
8,,,,5. Navigate to Financial Lines screen and update products and details,5. Financial Lines should be updated for renewal,,,,,,
8,,,,6. Price the renewal submission,6. System should price renewal with both LOBs,,,,,,
8,,,,7. Generate Quote document,7. Quote should include both LOBs with renewal rates,,,,,,
8,,,,8. Bind the renewal policy,8. Renewal should bind successfully with both LOBs,,,,,,
9,Manual,TC09_Verify Renewal with Inland Marine and Umbrella LOB Combination_Middle Market_Renewal_Casualty-Property,The objective of this test case is to validate that Inland Marine and Umbrella LOBs can be renewed together,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Lob-Combinations/Lob-Combinations LOB Combination,ToDo,Middle Market,Lob-Combinations,High,Positive
9,,,,2. Initiate Renewal transaction with Inland Marine and Umbrella LOBs,2. User should be able to create renewal with both LOBs from prior policy,,,,,,
9,,,,3. Navigate to Line selection screen,3. Both LOBs should be pre-selected from prior policy,,,,,,
9,,,,4. Navigate to Inland Marine screen and update renewal information,4. Inland Marine should be updated successfully,,,,,,
