TC ID,Test Type,Test Case Name,Description,Actions,Expected Results,Test Repository Path,Status,Component,User Story,Priority,Acceptance Criteria
TC_1178_001,Manual,TC01_GL/Umbrella Update Screen Display - PRODUCED Scope - New Business,Validate new update screen displays for GL/Umbrella PRODUCED scope submissions on new business,"1. Initiate a New Business submission for GL/Umbrella
2. Set Scope = PRODUCED
3. Navigate to Line Selection screen
4. Add GL and Umbrella LOBs
5. Fill all mandatory fields in Property and GL/Umbrella screens
6. Click Price button
7. Approve Underwriter rules
8. Navigate to Update screen
9. Verify Master Policy table appears with country list","1. New update screen should be displayed for GL/Umbrella PRODUCED submission
2. Screen should show countries: Canada, Any countries = local policy, Any countries = Freedom of Service - Local Policy, Any Countries = Freedom of Service - Ground up
3. Canada should show Insurance Solution = Master Policy
4. System should display the Master Policy table with solution/coverage summary
5. Only specified countries should be displayed in the summary
6. No other countries should appear
7. Quoted Premium column should be visible and editable","MM - November 2025 / CAMS-1178 GL/Umbrella International Premium Allocation - table enhancements",ToDo,Middle Market,CAMS-1178,High,Acceptance Criteria 1
TC_1178_002,Manual,TC02_GL/Umbrella Update Screen - Existing Policy Not Visible,Validate update screen is NOT displayed for existing policies,"1. Retrieve an existing GL/Umbrella policy
2. Navigate to Policy summary screen
3. Navigate to Update screen
4. Attempt to access the new update screen table","1. Old update screen should be displayed
2. New update screen should NOT be visible
3. User should see the original premium entry interface","MM-November 2025/CAMS-1178 GL/Umbrella International Premium Allocation",ToDo,Middle Market,CAMS-1178,High,Negative
TC_1178_003,Manual,TC03_GL/Umbrella Update Screen - Policy Change Renewal,Validate update screen is NOT visible for Policy Change until renewal,"1. Retrieve an existing GL/Umbrella policy (NB)
2. Initiate Policy Change transaction
3. Navigate to Update screen
4. Perform Renewal transaction
5. Navigate to Update screen on renewed policy","1. Policy Change should show old update screen
2. New update screen should NOT appear for PC
3. Upon Renewal, new update screen should be displayed
4. User should see updated Master Policy table on renewal","MM-November 2025/CAMS-1178 GL/Umbrella International Premium Allocation",ToDo,Middle Market,CAMS-1178,Medium,Negative
TC_1178_004,Manual,TC04_DIC/DIL Coverage Creation - Local Policy Insurance Solution,Validate new DIC/DIL coverage is created when Local Policy insurance solution is selected,"1. Initiate New Business GL/Umbrella PRODUCED submission
2. Add receiving territory with Insurance Solution = Local Policy
3. On Update screen, locate Master Policy table
4. Click on Local Policy row
5. Navigate to Coverage section","1. New DIC/DIL coverage (DIC/DIL - Country Code) should be available
2. Coverage should be created for GL LOB
3. Coverage should be created for Umbrella LOB
4. DIC/DIL prefix should be followed by country code (e.g., DIC/DIL - CA)
5. Coverage should link to specified country in receiving territory","MM-November 2025/CAMS-1178 GL/Umbrella International Premium Allocation",ToDo,Middle Market,CAMS-1178,High,Positive
TC_1178_005,Manual,TC05_Master Policy Table Coverage Mapping - Canada Master,Validate Master Policy table correctly displays Canada as Master Policy,"1. Initiate New Business GL/Umbrella PRODUCED submission
2. Add Canada as receiving territory
3. Navigate to Update screen
4. Locate Master Policy table
5. Review Canada row","1. Canada row should show Insurance Solution = Master Policy
2. Master Coverage should display Master Policy
3. Coverage Type should be Blank for Canada
4. Quoted Premium should be displayed for Canada entry
5. Actual Premium (if available) should be displayed","MM-November 2025/CAMS-1178 GL/Umbrella International Premium Allocation",ToDo,Middle Market,CAMS-1178,High,Positive
TC_1178_006,Manual,TC06_Master Policy Table Coverage Mapping - Exempt Solution,Validate Master Policy table correctly displays Exempt insurance solution as Master Policy,"1. Initiate New Business GL/Umbrella PRODUCED submission
2. Add receiving territory with Insurance Solution = Exempt
3. Navigate to Update screen
4. Locate Master Policy table
5. Review Exempt row","1. Exempt row should show Master Coverage = Master Policy
2. Coverage Type should be Blank for Exempt
3. Quoted Premium should be displayed
4. Actual Premium should be displayed
5. Row should be included in Master Policy summary","MM-November 2025/CAMS-1178 GL/Umbrella International Premium Allocation",ToDo,Middle Market,CAMS-1178,High,Positive
TC_1178_007,Manual,TC07_Master Policy Table Coverage Mapping - Non-Admitted,Validate Master Policy table correctly displays Non-Admitted solution as Ground up,"1. Initiate New Business GL/Umbrella PRODUCED submission
2. Add receiving territory with Insurance Solution = Non-Admitted
3. Navigate to Update screen
4. Locate Master Policy table
5. Review Non-Admitted row","1. Non-Admitted row should show Master Coverage = Ground up
2. Coverage Type should display Non Admitted
3. Quoted and Actual premiums should be blank and editable
4. User should be able to enter premiums manually
5. Premiums entered should be allocated to master policy","MM-November 2025/CAMS-1178 GL/Umbrella International Premium Allocation",ToDo,Middle Market,CAMS-1178,High,Positive
TC_1178_008,Manual,TC08_Master Policy Table Coverage Mapping - Local Policy,Validate Master Policy table correctly displays Local Policy solution with DIC/DIL,"1. Initiate New Business GL/Umbrella PRODUCED submission
2. Add receiving territory with Insurance Solution = Local Policy
3. Navigate to Update screen
4. Locate Master Policy table
5. Review Local Policy row","1. Local Policy row should show Master Coverage = DIC/DIL
2. Coverage Type should display corresponding DIC/DIL Type (Non Admitted or Financial Interest)
3. Quoted Premium should display premium from newly created DIC/DIL coverage
4. Actual Premium should display actual premium from DIC/DIL coverage
5. Premiums should be auto-populated from DIC/DIL coverages","MM-November 2025/CAMS-1178 GL/Umbrella International Premium Allocation",ToDo,Middle Market,CAMS-1178,High,Positive
TC_1178_009,Manual,TC09_Master Policy Table Coverage Mapping - Financial Interest,Validate Master Policy table correctly displays Financial Interest solution as Ground up,"1. Initiate New Business GL/Umbrella PRODUCED submission
2. Add receiving territory with Insurance Solution = FinC (Financial Interest)
3. Navigate to Update screen
4. Locate Master Policy table
5. Review FinC row","1. FinC row should show Master Coverage = Ground up
2. Coverage Type should display Financial Interest
3. Quoted and Actual premiums should be blank and editable
4. User should be able to manually enter premiums
5. Premiums should reflect in Master Policy calculation","MM-November 2025/CAMS-1178 GL/Umbrella International Premium Allocation",ToDo,Middle Market,CAMS-1178,High,Positive
TC_1178_010,Manual,TC10_Umbrella Simplified Approach - 100% DIC/DIL Allocation,Validate Umbrella premiums are allocated 100% as DIC/DIL to master policy,"1. Initiate New Business GL/Umbrella PRODUCED submission
2. Add receiving territories with Umbrella LOB
3. Navigate to Update screen
4. Locate Umbrella coverage section
5. Enter Umbrella premium
6. Review Master Policy table","1. Premium entered for Umbrella should be considered 100% DIC/DIL
2. Premium allocation should show 100% to Master Policy
3. No split options should be available for Umbrella
4. Umbrella premium should not appear on local policy premiums
5. Master Policy calculation should include Umbrella as DIC/DIL","MM-November 2025/CAMS-1178 GL/Umbrella International Premium Allocation",ToDo,Middle Market,CAMS-1178,High,Positive
