TC ID,Test Type,Test Case Name,Description,Action,Expected Result,Test Repository Path,Status,Components,User Story,Priority,Scenario Type
1,Manual,TC01_Verify Form ZC 6356 Latest Edition Display in Coverage Options_Inland Marine_New Business_R1,The objective of this test case is to validate that the Contractors Equipment form ZC 6356 with the latest 03/25 edition is displayed in the coverage options,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen with all required fields,Inland Marine/US_005 Form Display,Done,Middle Market,US_005,High,Positive
1,,,,2. Create a Domestic submission with Inland Marine LOB,2. User should be able to create a submission successfully and proceed to line selection,,,,,,
1,,,,3. Navigate to Inland Marine screen,3. User should be able to view the Inland Marine screen with all mandatory fields displayed,,,,,,
1,,,,4. Select Contractors Equipment Coverage,4. User should be able to view coverage options,,,,,,
1,,,,5. Verify form ZC 6356 is available in coverage options,5. User should verify that form ZC 6356 is displayed and selectable in the Contractors Equipment coverage options,,,,,,
1,,,,6. Verify form edition date is displayed as 03/25,6. User should verify that the form edition date displays as 03/25 (March 2025 edition),,,,,,
1,,,,7. Verify form version information is correctly displayed,7. User should verify that form version and edition date metadata are properly displayed,,,,,,
2,Manual,TC02_Verify Form ZC 6356 Auto-Attachment on Selection with Latest Edition_Inland Marine_New Business_R2,The objective of this test case is to validate that the Contractors Equipment form ZC 6356 with latest 03/25 edition is automatically attached when user selects the coverage,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Inland Marine/US_005 Form Attachment,Done,Middle Market,US_005,High,Positive
2,,,,2. Create a Domestic submission with Inland Marine LOB,2. User should be able to create a submission successfully,,,,,,
2,,,,3. Navigate to Inland Marine screen,3. User should be able to view the Inland Marine screen with mandatory fields,,,,,,
2,,,,4. Select Contractors Equipment Coverage,4. User should be able to view coverage selection options,,,,,,
2,,,,5. Select form ZC 6356 from coverage options,5. Form ZC 6356 should be automatically added to the documents section,,,,,,
2,,,,6. Navigate to documents section,6. User should be able to view the documents section with attached forms,,,,,,
2,,,,7. Verify form ZC 6356 is attached,7. User should verify that form ZC 6356 is present in the documents section,,,,,,
2,,,,8. Verify attached form edition is 03/25,8. User should verify that the attached form is the latest 03/25 edition and not the old version,,,,,,
2,,,,9. Verify form versioning and edition metadata,9. User should verify that form metadata displays correct version and edition date information,,,,,,
3,Manual,TC03_Verify Form ZC 6356 Latest Edition in API Payload_Inland Marine_New Business_R1,The objective of this test case is to validate that the latest 03/25 edition form ZC 6356 is sent in the payload to the backend system,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Inland Marine/US_005 Form Payload,Done,Middle Market,US_005,High,Positive
3,,,,2. Create a Domestic submission with Inland Marine LOB,2. User should be able to create a submission successfully,,,,,,
3,,,,3. Navigate to Inland Marine screen,3. User should be able to view the Inland Marine screen with all fields,,,,,,
3,,,,4. Select Contractors Equipment Coverage,4. User should be able to view coverage selection options,,,,,,
3,,,,5. Select form ZC 6356 from coverage options,5. Form ZC 6356 should be selected,,,,,,
3,,,,6. Verify the edition date in system payload is 03/25,6. System should send the form with edition date 03/25 in the API payload,,,,,,
3,,,,7. Verify form metadata in payload,7. The payload should include correct form versioning information and metadata,,,,,,
3,,,,8. Verify old form version is not included,8. System should ensure the old form version is not sent in the payload,,,,,,
4,Manual,TC04_Verify Form ZC 6356 Not Attached When Not Selected_Inland Marine_New Business_R2,The objective of this test case is to validate that form ZC 6356 is not automatically attached when Contractors Equipment coverage is not selected,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Inland Marine/US_005 Form Non-Selection,Done,Middle Market,US_005,Medium,Positive
4,,,,2. Create a Domestic submission with Inland Marine LOB,2. User should be able to create a submission successfully,,,,,,
4,,,,3. Navigate to Inland Marine screen,3. User should be able to view the Inland Marine screen,,,,,,
4,,,,4. Do not select Contractors Equipment Coverage,4. User should proceed without selecting Contractors Equipment coverage,,,,,,
4,,,,5. Navigate to documents section,5. User should be able to view the documents section,,,,,,
4,,,,6. Verify form ZC 6356 is not attached,6. User should verify that form ZC 6356 is not present in the documents section,,,,,,
5,Manual,TC05_Verify Form ZC 6356 Replacement of Old Version_Inland Marine_New Business_R2,The objective of this test case is to validate that when form ZC 6356 is selected the latest edition replaces any old version that may exist,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Inland Marine/US_005 Form Version Replacement,Done,Middle Market,US_005,High,Positive
5,,,,2. Create a Domestic submission with Inland Marine LOB,2. User should be able to create a submission successfully,,,,,,
5,,,,3. Navigate to Inland Marine screen,3. User should be able to view the Inland Marine screen,,,,,,
5,,,,4. Select Contractors Equipment Coverage with form ZC 6356,4. Form ZC 6356 latest edition should be attached,,,,,,
5,,,,5. Navigate to documents section,5. User should be able to view the documents section,,,,,,
5,,,,6. Verify only latest 03/25 edition form is attached,6. User should verify that only the latest 03/25 edition is present and old versions are not included,,,,,,
5,,,,7. Verify form metadata confirms latest version,7. Form metadata should clearly indicate 03/25 edition date,,,,,,
6,Manual,TC06_Verify Form ZC 6356 Display in Policy Change Scenario_Inland Marine_Policy Change_R1,The objective of this test case is to validate that form ZC 6356 with latest edition is available in policy change transactions,1. Navigate to Phoenix policy change submission screen,1. User should be able to view the policy change screen,Inland Marine/US_005 Form Policy Change,Done,Middle Market,US_005,High,Positive
6,,,,2. Select an existing policy with Inland Marine LOB,2. User should be able to select an existing policy for policy change,,,,,,
6,,,,3. Navigate to Inland Marine screen,3. User should be able to view the Inland Marine screen with existing coverages,,,,,,
6,,,,4. Add Contractors Equipment Coverage,4. User should be able to add new coverage,,,,,,
6,,,,5. Select form ZC 6356 from coverage options,5. Form ZC 6356 latest edition should be available for selection,,,,,,
6,,,,6. Verify form edition is 03/25,6. User should verify that the form edition displays as 03/25,,,,,,
6,,,,7. Verify form is automatically attached,7. Form should be automatically added to the documents section,,,,,,
7,Manual,TC07_Verify Form ZC 6356 Display in Cancel Scenario_Inland Marine_Cancel_R1,The objective of this test case is to validate that form ZC 6356 with latest edition is available in cancel transactions,1. Navigate to Phoenix cancel submission screen,1. User should be able to view the cancel submission screen,Inland Marine/US_005 Form Cancel,Done,Middle Market,US_005,Medium,Positive
7,,,,2. Select an existing policy with Inland Marine LOB containing Contractors Equipment,2. User should be able to select an existing policy for cancellation,,,,,,
7,,,,3. Navigate to Inland Marine screen,3. User should be able to view the Inland Marine screen with existing coverages,,,,,,
7,,,,4. Verify Contractors Equipment Coverage is displayed,4. User should see Contractors Equipment coverage in the screen,,,,,,
7,,,,5. Verify form ZC 6356 is displayed with 03/25 edition,5. User should verify that form ZC 6356 is shown with latest 03/25 edition date,,,,,,
7,,,,6. Verify form metadata,6. Form should display correct version information and edition date,,,,,,
8,Manual,TC08_Verify Form ZC 6356 Display in Reinstatement Scenario_Inland Marine_Reinstatement_R1,The objective of this test case is to validate that form ZC 6356 with latest edition is available in reinstatement transactions,1. Navigate to Phoenix reinstatement submission screen,1. User should be able to view the reinstatement submission screen,Inland Marine/US_005 Form Reinstatement,Done,Middle Market,US_005,Medium,Positive
8,,,,2. Select a cancelled policy with Inland Marine LOB containing Contractors Equipment,2. User should be able to select a cancelled policy for reinstatement,,,,,,
8,,,,3. Navigate to Inland Marine screen,3. User should be able to view the Inland Marine screen,,,,,,
8,,,,4. Verify Contractors Equipment Coverage is displayed,4. User should see Contractors Equipment coverage,,,,,,
8,,,,5. Verify form ZC 6356 is displayed with 03/25 edition,5. User should verify that form ZC 6356 is shown with latest 03/25 edition date,,,,,,
8,,,,6. Verify form metadata,6. Form should display correct version information and edition date,,,,,,
9,Manual,TC09_Verify Form ZC 6356 in Rewrite Scenario_Inland Marine_Rewrite Full Term_R1,The objective of this test case is to validate that form ZC 6356 with latest edition is available in rewrite transactions,1. Navigate to Phoenix rewrite submission screen,1. User should be able to view the rewrite submission screen,Inland Marine/US_005 Form Rewrite,Done,Middle Market,US_005,Medium,Positive
9,,,,2. Select an existing policy with Inland Marine LOB containing Contractors Equipment,2. User should be able to select a policy for rewrite,,,,,,
9,,,,3. Navigate to Inland Marine screen,3. User should be able to view the Inland Marine screen with existing coverages,,,,,,
9,,,,4. Verify Contractors Equipment Coverage is displayed with form ZC 6356,4. User should see Contractors Equipment coverage with form ZC 6356,,,,,,
9,,,,5. Verify form edition is 03/25,5. User should verify that form ZC 6356 is displayed with latest 03/25 edition date,,,,,,
9,,,,6. Verify form metadata,6. Form should display correct version information and edition date,,,,,,
10,Manual,TC10_Verify Form ZC 6356 Pricing and Binding_Inland Marine_New Business_R1,The objective of this test case is to validate that form ZC 6356 with latest edition is properly included during pricing and binding,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Inland Marine/US_005 Form Pricing,Done,Middle Market,US_005,High,Positive
10,,,,2. Create a Domestic submission with Inland Marine LOB,2. User should be able to create a submission successfully,,,,,,
10,,,,3. Navigate to Inland Marine screen,3. User should be able to view the Inland Marine screen,,,,,,
10,,,,4. Select Contractors Equipment Coverage with form ZC 6356,4. Form ZC 6356 should be attached,,,,,,
10,,,,5. Fill all mandatory fields,5. User should be able to complete all required field entries,,,,,,
10,,,,6. Click Price button,6. Submission should proceed to pricing stage,,,,,,
10,,,,7. Verify form is included in pricing payload,7. Form ZC 6356 latest edition should be included in the pricing submission,,,,,,
10,,,,8. Approve underwriter rules,8. System should approve pricing rules successfully,,,,,,
10,,,,9. Proceed to Quote,9. User should be able to generate quote with form included,,,,,,
10,,,,10. Click Bind,10. Policy should be bound with form ZC 6356 latest edition attached,,,,,,
11,Manual,TC11_Verify Form ZC 6356 Effective Date August Release_Inland Marine_New Business_R3,The objective of this test case is to validate that form ZC 6356 has the correct effective date corresponding to August release,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Inland Marine/US_005 Form Effective Date,Done,Middle Market,US_005,High,Positive
11,,,,2. Create a Domestic submission with Inland Marine LOB,2. User should be able to create a submission successfully,,,,,,
11,,,,3. Navigate to Inland Marine screen,3. User should be able to view the Inland Marine screen,,,,,,
11,,,,4. Select Contractors Equipment Coverage,4. User should view coverage options,,,,,,
11,,,,5. Select form ZC 6356,5. Form should be attached with metadata,,,,,,
11,,,,6. Verify form effective date,6. User should verify that form effective date corresponds to August release,,,,,,
11,,,,7. Verify form metadata displays correct effective date,7. System should show the correct form effective date in all documents,,,,,,
12,Manual,TC12_Verify Form ZC 6356 Multiple Selections in Single Submission_Inland Marine_New Business_R2,The objective of this test case is to validate that form ZC 6356 is correctly handled when selected multiple times within a single submission,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Inland Marine/US_005 Form Multiple Selection,Done,Middle Market,US_005,Medium,Positive
12,,,,2. Create a Domestic submission with Inland Marine LOB,2. User should be able to create a submission successfully,,,,,,
12,,,,3. Navigate to Inland Marine screen,3. User should be able to view the Inland Marine screen,,,,,,
12,,,,4. Select Contractors Equipment Coverage first time,4. Form ZC 6356 should be attached,,,,,,
12,,,,5. Deselect Contractors Equipment Coverage,5. Coverage should be removed,,,,,,
12,,,,6. Select Contractors Equipment Coverage again,6. Form ZC 6356 should be re-attached with latest edition,,,,,,
12,,,,7. Navigate to documents section,7. User should see form attached only once with correct edition,,,,,,
12,,,,8. Verify form version is 03/25,8. User should verify only the latest 03/25 edition is present,,,,,,
13,Manual,TC13_Verify Form ZC 6356 with Produced Scope_Inland Marine_New Business_R1,The objective of this test case is to validate that form ZC 6356 with latest edition is available and functions correctly in Produced scope submissions,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Inland Marine/US_005 Form Produced Scope,Done,Middle Market,US_005,Medium,Positive
13,,,,2. Create a Produced submission with Inland Marine LOB,2. User should be able to create a Produced scope submission,,,,,,
13,,,,3. Navigate to Inland Marine screen,3. User should be able to view the Inland Marine screen,,,,,,
13,,,,4. Select Contractors Equipment Coverage,4. User should view coverage options,,,,,,
13,,,,5. Verify form ZC 6356 is available,5. User should verify that form ZC 6356 is available in Produced scope,,,,,,
13,,,,6. Select form ZC 6356,6. Form should be attached automatically,,,,,,
13,,,,7. Verify form edition is 03/25,7. User should verify that form edition displays as 03/25,,,,,,
13,,,,8. Verify form is included in payload,8. System should include form in the Produced scope payload,,,,,,
14,Manual,TC14_Verify Form ZC 6356 with Domestic Scope_Inland Marine_New Business_R1,The objective of this test case is to validate that form ZC 6356 with latest edition is available and functions correctly in Domestic scope submissions,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Inland Marine/US_005 Form Domestic Scope,Done,Middle Market,US_005,High,Positive
14,,,,2. Create a Domestic submission with Inland Marine LOB,2. User should be able to create a Domestic scope submission,,,,,,
14,,,,3. Navigate to Inland Marine screen,3. User should be able to view the Inland Marine screen,,,,,,
14,,,,4. Select Contractors Equipment Coverage,4. User should view coverage options,,,,,,
14,,,,5. Verify form ZC 6356 is available,5. User should verify that form ZC 6356 is available in Domestic scope,,,,,,
14,,,,6. Select form ZC 6356,6. Form should be attached automatically,,,,,,
14,,,,7. Verify form edition is 03/25,7. User should verify that form edition displays as 03/25,,,,,,
14,,,,8. Verify form is included in payload,8. System should include form in the Domestic scope payload,,,,,,
15,Manual,TC15_Verify Form ZC 6356 Quote Document Generation_Inland Marine_New Business_R1,The objective of this test case is to validate that form ZC 6356 with latest edition is correctly included in the generated quote document,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Inland Marine/US_005 Form Quote,Done,Middle Market,US_005,High,Positive
15,,,,2. Create a Domestic submission with Inland Marine LOB,2. User should be able to create a submission successfully,,,,,,
15,,,,3. Navigate to Inland Marine screen,3. User should be able to view the Inland Marine screen,,,,,,
15,,,,4. Select Contractors Equipment Coverage with form ZC 6356,4. Form should be attached,,,,,,
15,,,,5. Fill all mandatory fields and price submission,5. Submission should be priced successfully,,,,,,
15,,,,6. Click Quote button,6. Quote document should be generated,,,,,,
15,,,,7. Verify form ZC 6356 is included in quote document,7. User should see form ZC 6356 with latest 03/25 edition in the quote document,,,,,,
15,,,,8. Verify form edition metadata in quote,8. Quote document should display correct form edition date and version information,,,,,,
16,Manual,TC16_Verify Form ZC 6356 Binder Document Generation_Inland Marine_New Business_R1,The objective of this test case is to validate that form ZC 6356 with latest edition is correctly included in the generated binder document,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Inland Marine/US_005 Form Binder,Done,Middle Market,US_005,High,Positive
16,,,,2. Create a Domestic submission with Inland Marine LOB,2. User should be able to create a submission successfully,,,,,,
16,,,,3. Navigate to Inland Marine screen,3. User should be able to view the Inland Marine screen,,,,,,
16,,,,4. Select Contractors Equipment Coverage with form ZC 6356,4. Form should be attached,,,,,,
16,,,,5. Fill all mandatory fields and complete pricing,5. Submission should reach binding stage,,,,,,
16,,,,6. Click Bind button,6. Binder document should be generated,,,,,,
16,,,,7. Verify form ZC 6356 is included in binder document,7. User should see form ZC 6356 with latest 03/25 edition in the binder document,,,,,,
16,,,,8. Verify form metadata in binder,8. Binder document should display correct form version and edition information,,,,,,
17,Manual,TC17_Verify Form ZC 6356 Policy Document Generation_Inland Marine_New Business_R1,The objective of this test case is to validate that form ZC 6356 with latest edition is correctly included in the issued policy document,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Inland Marine/US_005 Form Policy,Done,Middle Market,US_005,High,Positive
17,,,,2. Create a Domestic submission with Inland Marine LOB,2. User should be able to create a submission successfully,,,,,,
17,,,,3. Navigate to Inland Marine screen,3. User should be able to view the Inland Marine screen,,,,,,
17,,,,4. Select Contractors Equipment Coverage with form ZC 6356,4. Form should be attached,,,,,,
17,,,,5. Fill all mandatory fields complete pricing and binding,5. Submission should proceed to policy issuance,,,,,,
17,,,,6. Click Issue Policy,6. Policy document should be generated and issued,,,,,,
17,,,,7. Verify form ZC 6356 is included in policy document,7. User should see form ZC 6356 with latest 03/25 edition in the issued policy,,,,,,
17,,,,8. Verify form metadata in policy,8. Policy document should display correct form version and edition information,,,,,,
18,Manual,TC18_Verify Form ZC 6356 Not Available for Non-Inland Marine LOBs_Inland Marine_New Business_R1,The objective of this test case is to validate that form ZC 6356 is only available for Inland Marine LOB and not for other LOBs,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,Inland Marine/US_005 Form LOB Restriction,Done,Middle Market,US_005,Medium,Positive
18,,,,2. Create a Domestic submission with Property LOB,2. User should be able to create a Property LOB submission,,,,,,
18,,,,3. Navigate to Property screen,3. User should be able to view the Property screen,,,,,,
18,,,,4. Verify form ZC 6356 is not available in Property LOB,4. User should verify that form ZC 6356 is not displayed in Property LOB coverage options,,,,,,
18,,,,5. Navigate to General Liability LOB,5. User should be able to view the General Liability screen,,,,,,
18,,,,6. Verify form ZC 6356 is not available in GL LOB,6. User should verify that form ZC 6356 is not displayed in GL LOB coverage options,,,,,,
